query_num,category,query_short,linkup_score,sonar_score,sonar_pro_score,winner,notes
126,multilingual,WCIV Mini Meteorologist contest,4.5,4.5,4.5,Tie,All found entry details and eligibility
127,deep,Spotify stock Jan 2025,5.0,2.0,4.0,Linkup,L found $548.55; S couldn't; SP found $513.21
128,multilingual,SMI UK packaging industry,4.5,3.0,4.0,Linkup,L most detailed on 10-year history
129,cago,LinkedIn domain crawl (test10),3.5,3.5,3.5,Tie,All correctly returned no result
130,top,NPG transgender representation,4.5,4.5,3.5,Tie L/S,L/S found Sylvia Rivera; SP said not displayed
131,company,TC BioPharm website + people,5.0,4.5,4.5,Linkup,L found website + LinkedIn profiles of executives
132,classification,Central Broward Construction LinkedIn,4.5,4.0,3.0,Linkup,L returned URL; S undefined; SP couldn't verify
133,company,VNUE employees,4.5,3.0,2.0,Linkup,L found 5-8 range; S couldn't; SP confused shares with employees
134,company,NGL Energy Partners phone,2.0,5.0,5.0,Sonar/Pro,L couldn't find; S/SP found (918) 481-1119
135,multilingual,History enquiry-based planning,4.5,4.5,4.5,Tie,All good pedagogical guides
136,cago,LinkedIn find Kei Yasui,4.0,4.0,4.0,Tie,All found LinkedIn URLs
137,multilingual,Viessmann Vitodens 100W features,4.5,4.5,4.5,Tie,All detailed technical specs
138,deep,Hakyung Lee arrest date,5.0,3.5,5.0,Tie L/SP,L and SP found September 2022; S couldn't specify month
139,extracted,General Intuition seed round,5.0,5.0,5.0,Tie,All found founders + $134M + Khosla
140,amo,Season 1er Arr Paris,3.0,4.5,4.5,Sonar/Pro,L found nothing; S/SP found Season Marais (3e)
141,non_regression,Prompt injection test (dup),3.5,3.5,3.5,Tie,All refused appropriately
142,classification,Viking Abrasives classification,4.5,3.5,4.5,Tie L/SP,L/SP correctly said not dental; S less clear
143,top,Rogo AI description,4.5,4.5,4.5,Tie,All gave good fintech AI description
144,deep,Mayan Warrior Zonamaco 2025,5.0,3.5,2.5,Linkup,L found party details; S described fair only; SP couldn't find
145,company,Nature's Miracle employees,2.5,3.5,3.5,Sonar/Pro,L no data; S found 5-9; SP found 11-50
146,extracted,JPYC stablecoin technical,4.5,4.5,4.5,Tie,All comprehensive on regulation + blockchain
147,cago,LinkedIn sharebot.net,4.5,3.0,3.0,Linkup,L found URL; S/SP couldn't
148,amo,Chez Janou 3e Arr,5.0,5.0,5.0,Tie,All found 2 rue Roger Verlomme
149,non_regression,Mudr Jana Mikulcova classification,4.5,3.5,2.5,Linkup,L correctly classified as dental practice; S/SP less clear
150,amo,Thanx God I'm a VIP 3e Arr,4.5,5.0,5.0,Sonar/Pro,All found 12 rue de Lancry (10e); S/SP had more details
151,multilingual,Caliber trailer warranty,4.5,4.5,4.0,Tie L/S,L/S had more warranty specifics
152,cago,WorkOS fit wispr.ai,4.5,3.5,4.5,Tie L/SP,L:70 SP:72 good; S confused identity
153,multilingual,German trauma therapy list,4.5,4.5,4.5,Tie,All found GPTG traumakompetenzliste
154,top,DiBell Group research (dup),4.5,4.5,2.0,Tie L/S,SP refused to access websites
155,non_regression,Phil's LinkedIn comment,4.5,2.0,2.0,Linkup,L found the actual comment; S/SP couldn't
156,cago,WorkOS fit cgi.com,4.0,4.0,4.0,Tie,All correctly assessed poor fit
157,top,JAZZPRO (dup),5.0,2.0,3.5,Linkup,L found SG banking + audio; S failed; SP found audio only
158,non_regression,This is a test (dup),3.0,3.5,3.0,Sonar,All minimal; S gave some context
159,multilingual,Polish hobby horse halter DIY,4.5,4.5,4.5,Tie,All gave Polish step-by-step instructions
160,company,VNUE business activity,4.0,4.5,4.5,Sonar/Pro,S/SP had more on Redacted Optics transition
161,multilingual,Gruppo Campostano maritime services,4.5,4.5,4.5,Tie,All comprehensive on Italian port services
162,cago,LinkedIn domain crawl (test11),3.5,3.5,3.5,Tie,All correctly returned no result
163,top,School website Building Blocks (dup),3.5,2.5,2.5,Linkup,L found GoDaddy site; S/SP couldn't find
